17	0
17	1
17	2
69	2
69	3
779	4
779	5
76	6
76	7
76	2
679	8
679	9
1254	10
1254	8
1254	11
1254	9
1254	2
393	12
393	13
393	8
393	10
393	14
393	9
393	2
66	4
66	13
66	15
66	2
405	9
405	16
673	4
673	17
962	18
962	19
962	20
951	8
951	11
951	9
951	2
972	8
972	13
972	9
972	2
296	13
296	21
296	22
296	2
866	22
866	23
866	24
866	2
944	25
944	1
944	26
944	2
611	27
611	28
611	19
945	13
945	29
945	2
427	30
427	2
368	31
368	32
1298	33
1298	19
1246	4
1246	34
843	35
843	2
843	3
245	36
245	37
740	4
740	5
740	38
740	2
563	8
563	2
563	39
563	40
563	9
1268	41
1268	42
772	8
772	12
772	9
772	43
602	44
602	19
602	45
602	46
602	47
1192	21
1192	2
728	4
728	48
728	17
648	8
648	49
648	50
648	9
648	2
648	29
800	4
800	5
800	51
800	2
249	21
249	2
986	52
986	4
986	51
986	2
986	48
607	53
607	54
607	55
607	56
835	57
835	49
835	2
973	58
973	59
973	12
973	60
131	4
131	61
131	62
482	2
482	3
737	10
737	8
737	9
204	63
204	10
204	8
204	9
204	2
332	64
332	4
216	58
216	12
172	2
172	3
596	4
596	17
297	11
297	1
297	2
539	12
539	65
539	66
539	67
539	68
539	69
32	70
32	12
32	71
782	4
782	17
230	72
230	73
230	2
608	29
608	2
199	21
199	2
138	11
138	2
62	0
62	29
62	2
117	8
117	21
117	9
117	2
98	10
98	8
98	74
98	9
98	2
852	13
852	2
165	9
165	8
165	1
165	2
1305	72
1305	73
1305	2
18	75
18	76
18	2
682	4
682	5
1281	77
1281	78
826	11
826	2
684	30
684	2
675	79
675	8
675	9
675	2
662	8
662	80
662	9
662	81
662	11
662	2
937	4
937	82
937	48
937	2
937	3
1259	83
1259	84
1259	85
581	86
581	1
581	2
113	4
113	17
113	75
113	2
247	30
247	2
988	4
988	5
206	87
206	49
206	2
1255	87
1255	49
1255	88
1255	2
367	2
367	3
878	89
878	2
1470	4
1470	17
546	1
546	2
359	4
359	5
1295	4
1295	17
757	53
757	90
839	91
839	19
681	72
681	2
270	92
270	72
270	2
678	12
678	93
54	30
54	2
892	21
892	2
815	89
815	2
674	4
674	48
674	94
1296	4
1296	17
560	4
560	61
669	95
669	12
669	93
890	8
890	9
150	4
150	96
150	17
150	97
150	48
1360	12
1360	98
530	87
530	1
530	26
530	2
382	4
382	5
284	2
284	3
271	21
271	2
941	6
941	2
423	83
423	31
423	99
257	31
257	100
207	30
207	2
250	21
250	2
272	10
272	101
272	9
272	8
272	2
1320	102
1320	2
949	4
949	5
982	11
982	2
344	64
344	4
901	21
901	2
1318	103
1318	104
1318	19
532	21
532	2
1354	105
1354	2
1262	106
1262	2
847	4
847	17
847	107
847	2
225	105
225	2
1231	8
1231	13
1231	9
1231	2
377	4
377	17
377	107
377	2
213	106
213	2
258	13
258	29
258	2
244	30
244	2
244	3
31	6
31	13
31	89
31	2
963	8
963	2
963	9
963	3
231	4
231	61
1227	10
1227	8
1227	13
1227	9
1227	2
498	8
498	13
498	9
498	2
531	0
531	1
531	2
426	2
426	3
770	102
770	2
1258	11
1258	2
0	3
0	21
0	2
613	33
613	19
142	64
142	4
191	88
191	49
191	2
91	24
91	2
64	3
64	21
64	2
115	72
115	73
115	2
101	21
101	2
786	8
786	13
786	6
786	9
786	39
786	2
259	108
259	19
724	4
724	5
1247	53
1247	109
660	110
660	28
660	19
660	111
660	112
1194	77
1194	113
1194	114
1194	78
504	23
504	2
615	73
615	2
1241	64
1241	4
1241	115
575	8
575	13
575	9
575	2
1260	78
1260	116
1260	117
1260	118
1260	119
1260	66
428	11
428	2
470	77
470	78
470	120
56	8
56	2
56	13
56	39
56	9
1228	8
1228	13
1228	9
1228	2
336	64
336	4
336	62
997	4
997	61
997	5
877	4
877	1
877	115
877	0
877	2
242	19
242	121
242	20
242	122
242	31
242	18
242	123
242	91
755	4
755	124
755	0
755	125
755	83
755	2
585	4
585	17
876	28
876	19
876	103
876	126
876	127
876	128
1472	8
1472	21
1472	9
1472	2
415	2
415	3
873	129
873	130
873	2
1473	8
1473	4
1473	115
1473	131
1473	9
1473	81
544	0
544	2
726	0
726	132
726	133
726	2
555	6
555	7
555	2
432	24
432	2
717	11
717	2
586	1
586	2
1561	72
1561	134
1561	24
1561	2
396	8
396	9
1599	83
1599	31
1599	99
655	83
655	135
1088	83
1088	31
1088	99
1378	12
1378	71
1048	12
1048	43
1048	136
1048	9
1048	66
1048	137
1502	66
1502	138
1393	58
1393	59
1393	12
1393	60
1387	21
1387	3
1387	1
1387	2
1428	139
1428	140
1428	19
1428	18
1452	8
1452	30
1452	50
1452	9
1452	89
1452	2
1116	77
1116	141
1116	142
1116	78
1509	143
1509	2
1505	0
1505	11
1505	31
1505	100
1505	2
1416	4
1416	48
1416	144
1416	19
1416	47
1092	8
1092	0
1092	50
1092	9
1092	3
1092	2
1586	0
1586	2
1585	6
1585	74
1585	2
1423	1
1423	0
1423	29
1423	2
1592	145
1592	12
1592	146
1592	9
1592	2
1002	83
1002	135
188	89
188	2
1381	83
1381	84
1381	85
919	64
919	4
1526	13
1526	2
1510	0
1510	13
1510	2
1484	89
1484	2
1506	4
1506	13
1506	15
1506	2
1364	6
1364	13
1364	29
1364	2
433	12
433	21
433	9
433	43
433	2
1368	4
1368	147
1527	13
1527	21
1527	26
1527	2
1583	75
1583	2
452	13
452	148
452	2
466	2
466	21
466	3
447	51
447	11
447	49
447	2
434	0
434	13
434	2
435	64
435	4
435	38
435	1
435	2
1519	9
1519	8
1519	75
1519	76
1519	2
1372	30
1372	8
1372	89
1372	9
1372	2
454	9
454	8
454	13
454	39
454	2
458	13
458	2
1134	66
1134	58
1134	12
1134	149
1134	136
1141	1
1141	21
1141	86
1141	2
1175	4
1175	62
1175	13
1175	2
1053	13
1053	2
1122	4
1122	17
1122	19
1122	150
1485	21
1485	1
